City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,chicama,-7.8447,-79.1469,23.3,74,92,1.69,PE,1677226028
84,chuy,-33.6971,-53.4616,21.08,94,100,2.46,UY,1677225867
85,victoria,22.2855,114.1577,24.58,60,3,4.47,HK,1677225674
86,hamilton,39.1834,-84.5333,0.35,73,0,7.72,US,1677226333
87,maniitsoq,65.4167,-52.9,-9.31,93,100,6.69,GL,1677226100
88,saint-joseph,-21.3667,55.6167,30.21,74,11,5.66,RE,1677225896
89,elban,50.1018,136.5094,-12.75,96,99,1.98,RU,1677226100
90,dongsheng,39.8161,109.9776,1.83,26,0,3.89,CN,1677226101
91,esperance,-33.8667,121.9,18.84,54,2,5.7,AU,1677225950
92,auray,47.6703,-2.9918,7.72,87,95,10.27,FR,1677226101
93,hithadhoo,-0.6,73.0833,27.63,70,11,2.35,MV,1677225844
94,ossora,59.2353,163.0719,-22.26,94,9,2.36,RU,1677226102
95,ponta do sol,32.6667,-17.1,13.73,73,80,1.62,PT,1677225881
96,luderitz,-26.6481,15.1594,24.43,49,5,7.82,NA,1677226102
97,hobart,-42.8794,147.3294,27.93,47,0,5.66,AU,1677225622
98,qaanaaq,77.484,-69.3632,-26.88,59,0,3.75,GL,1677225898
99,upernavik,72.7868,-56.1549,-20.0,73,100,3.96,GL,1677225877
100,punta alta,-38.8759,-62.0736,14.43,94,0,3.6,AR,1677225999
101,kruisfontein,-34.0033,24.7314,23.27,76,100,5.58,ZA,1677225938
102,atuona,-9.8,-139.0333,26.71,80,2,8.19,PF,1677226103
103,bambous virieux,-20.3428,57.7575,29.56,70,40,5.14,MU,1677225944
104,rio grande,-32.035,-52.0986,23.12,84,100,4.9,BR,1677225829
105,powell river,49.8496,-124.5361,-6.43,51,0,2.76,CA,1677226104
106,norfolk,42.1668,-71.2495,1.08,94,100,2.06,US,1677226104
107,whitley bay,55.0397,-1.4471,7.12,85,20,3.6,GB,1677226104
108,awbari,26.5921,12.7805,17.15,17,0,5.36,LY,1677226105
109,hervey bay,-25.2986,152.8535,24.49,69,15,7.96,AU,1677226105
110,samarai,-10.6167,150.6667,27.92,77,98,4.19,PG,1677226011
111,hilo,19.7297,-155.09,22.93,95,100,3.6,US,1677225611
112,saldanha,-33.0117,17.9442,24.03,78,0,6.34,ZA,1677225843
113,mudgee,-32.5943,149.5871,23.77,32,5,4.66,AU,1677225923
114,nabire,-3.3667,135.4833,27.88,84,100,1.94,ID,1677226106
115,ewa beach,21.3156,-158.0072,23.97,72,100,4.12,US,1677226106
116,beringovskiy,63.05,179.3167,-18.94,94,88,2.67,RU,1677225853
117,kavaratti,10.5669,72.642,27.24,65,0,0.97,IN,1677225937
118,komsomolskiy,40.4272,71.7189,15.4,38,37,2.06,UZ,1677226107
119,severiano melo,-5.7772,-37.9578,22.9,90,100,0.84,BR,1677226107
120,soe,-9.8607,124.284,22.56,85,99,1.41,ID,1677226107
121,chapais,49.7834,-74.8492,-29.12,95,100,2.72,CA,1677225903
122,bengkulu,-3.8004,102.2655,28.32,75,99,5.9,ID,1677225961
123,areosa,41.7178,-8.8571,4.34,75,0,2.24,PT,1677226108
124,ilulissat,69.2167,-51.1,-2.99,80,100,0.0,GL,1677225859
125,tasiilaq,65.6145,-37.6368,-2.91,94,100,13.54,GL,1677225892
126,dentsville,34.064,-80.9582,22.18,82,0,2.06,US,1677226108
127,sudak,44.85,34.9667,1.74,60,27,3.07,UA,1677226109
128,okha,53.5739,142.9478,-18.71,93,15,3.27,RU,1677226109
129,san patricio,28.017,-97.5169,24.05,96,100,2.82,US,1677225942
130,arawa,-6.2132,155.5367,26.18,90,100,1.15,PG,1677226110
131,sao joao da barra,-21.6403,-41.0511,23.76,87,100,3.2,BR,1677225886
132,guerrero negro,27.9769,-114.0611,13.24,64,94,3.8,MX,1677226110
133,pisco,-13.7,-76.2167,22.03,78,0,3.6,PE,1677225890
134,souillac,-20.5167,57.5167,29.21,70,40,5.14,MU,1677225925
135,port lincoln,-34.7333,135.8667,20.04,65,100,5.91,AU,1677226110
136,port keats,-14.25,129.55,26.56,83,100,5.05,AU,1677226111
137,high level,58.5169,-117.136,-32.02,100,81,1.12,CA,1677226111
138,tonj,7.2737,28.6822,34.47,12,100,2.71,SS,1677226112
139,namatanai,-3.6667,152.4333,27.76,77,81,3.62,PG,1677226112
140,margate,51.3813,1.3862,3.26,80,100,0.45,GB,1677226350
141,yaizu,34.8667,138.3333,12.06,50,100,3.09,JP,1677226112
142,sochi,43.6,39.7303,6.05,60,4,5.58,RU,1677226113
143,kodiak,57.79,-152.4072,0.73,86,75,1.54,US,1677225876
144,karratha,-20.7377,116.8463,32.46,58,97,7.23,AU,1677225842
145,okhotsk,59.3833,143.3,-23.96,89,6,1.83,RU,1677225845
146,deputatskiy,69.3,139.9,-36.54,95,94,2.31,RU,1677225939
147,east london,-33.0153,27.9116,29.52,65,40,8.23,ZA,1677225843
148,port blair,11.6667,92.75,30.02,62,40,4.12,IN,1677225901
149,berlevag,70.8578,29.0864,-1.0,86,75,3.09,NO,1677226113
150,guiyang,26.5833,106.7167,7.05,80,100,4.18,CN,1677226114
151,port macquarie,-31.4333,152.9167,22.16,67,98,3.02,AU,1677226114
152,caruray,10.3094,119.0128,26.43,86,76,3.91,PH,1677226115
153,kulhudhuffushi,6.6221,73.07,27.06,66,40,4.55,MV,1677225994
154,te anau,-45.4167,167.7167,12.66,66,0,0.66,NZ,1677226006
155,nouadhibou,20.931,-17.0347,16.4,86,8,7.15,MR,1677226115
156,gopalpur,19.2667,84.9167,29.62,56,0,6.08,IN,1677226116
157,ovre ardal,61.3167,7.8,-3.51,96,97,1.92,NO,1677226116
158,butaritari,3.0707,172.7902,26.68,82,98,4.82,KI,1677225846
159,lasa,46.6166,10.7002,5.57,88,81,1.51,IT,1677226116
160,lompoc,34.6391,-120.4579,7.4,73,100,9.39,US,1677225860
161,boke,10.9409,-14.2967,21.58,89,4,0.84,GN,1677226117
162,alihe,50.5667,123.7167,-6.64,62,62,4.32,CN,1677226117
163,groningen,53.25,6.75,5.58,91,100,6.69,NL,1677226351
164,mulanje,-16.0316,35.5,26.02,73,80,1.8,MW,1677226117
165,balabac,7.9868,117.0645,27.93,73,32,4.62,PH,1677226118
